#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g20980.t1      -          PF13927_seed         -                  0 3305.9  19.3   6.3e-16   59.5   0.0  78.7  79   0   0  79  79  78  77 -
anno1.g18686.t1      -          PF13927_seed         -            1.4e-08   36.0   0.8   5.2e-08   34.1   0.8   2.0   1   0   0   1   1   1   1 -
anno1.g23291.t1      -          PF13927_seed         -            1.5e-08   35.9   0.8   1.1e-07   33.1   0.0   3.1   2   0   0   2   2   1   1 -
anno1.g17865.t3      -          PF13927_seed         -            1.6e-08   35.8   0.2   6.9e-08   33.8   0.2   2.2   1   0   0   1   1   1   1 -
anno1.g24729.t1      -          PF13927_seed         -            2.3e-08   35.3   0.1   3.3e-08   34.8   0.1   1.3   1   0   0   1   1   1   1 -
anno1.g3768.t1       -          PF13927_seed         -            2.4e-08   35.2   0.0   6.7e-08   33.8   0.0   1.8   1   0   0   1   1   1   1 -
anno1.g5100.t1       -          PF13927_seed         -            2.5e-08   35.2   0.0   4.4e-08   34.4   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g19415.t1      -          PF13927_seed         -            2.9e-08   34.9   0.0   6.4e-08   33.9   0.0   1.6   1   0   0   1   1   1   1 -
anno1.g18684.t1      -          PF13927_seed         -            3.2e-08   34.8   0.3   1.1e-07   33.1   0.0   2.1   2   0   0   2   2   1   1 -
anno1.g6504.t1       -          PF13927_seed         -            6.1e-08   33.9   0.0   1.9e-07   32.4   0.0   1.8   1   0   0   1   1   1   1 -
anno1.g14096.t1      -          PF13927_seed         -            6.6e-08   33.8   2.7   1.7e-05   26.0   0.1   2.7   2   0   0   2   2   2   1 -
anno1.g5971.t2       -          PF13927_seed         -              8e-08   33.5   3.3   2.9e-07   31.8   0.1   3.0   2   0   0   2   2   1   1 -
anno1.g27506.t1      -          PF13927_seed         -            8.5e-08   33.5   1.5     0.019   16.3   0.1   2.6   2   1   0   2   2   2   2 -
anno1.g27666.t1      -          PF13927_seed         -            1.9e-07   32.4   0.3   2.4e-07   32.0   0.3   1.2   1   0   0   1   1   1   1 -
anno1.g17405.t1      -          PF13927_seed         -            2.4e-07   32.0   0.1   9.3e-07   30.1   0.1   2.1   1   0   0   1   1   1   1 -
anno1.g23123.t1      -          PF13927_seed         -            2.7e-07   31.9   4.5   0.00033   22.0   0.7   2.6   2   1   0   2   2   2   1 -
anno1.g8235.t1       -          PF13927_seed         -            2.8e-07   31.8   1.5     3e-07   31.7   0.5   1.6   2   0   0   2   2   1   1 -
anno1.g19311.t1      -          PF13927_seed         -            3.2e-07   31.6   0.0   4.9e-07   31.0   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g18147.t1      -          PF13927_seed         -              5e-07   31.0   0.1   1.9e-06   29.1   0.0   2.1   2   0   0   2   2   1   1 -
anno1.g20559.t1      -          PF13927_seed         -            5.9e-07   30.8   0.0   3.2e-06   28.4   0.0   2.3   1   0   0   1   1   1   1 -
anno1.g11584.t1      -          PF13927_seed         -              7e-07   30.5   0.1     7e-07   30.5   0.1   3.0   3   0   0   3   3   1   1 -
anno1.g30541.t1      -          PF13927_seed         -            8.8e-07   30.2   0.1   1.9e-06   29.1   0.0   1.7   2   0   0   2   2   1   1 -
anno1.g8234.t1       -          PF13927_seed         -            1.3e-06   29.6   0.8     4e-06   28.1   0.8   1.8   1   0   0   1   1   1   1 -
anno1.g32261.t1      -          PF13927_seed         -            1.5e-06   29.5   0.1   2.2e-06   28.9   0.1   1.3   1   0   0   1   1   1   1 -
anno1.g11324.t1      -          PF13927_seed         -            1.8e-06   29.2   3.0     1e-05   26.8   0.1   3.1   3   1   0   3   3   1   1 -
anno1.g14551.t1      -          PF13927_seed         -            2.2e-06   28.9   0.8    0.0018   19.6   0.1   3.1   3   0   0   3   3   2   1 -
anno1.g21090.t1      -          PF13927_seed         -            2.7e-06   28.6   0.6   8.6e-06   27.0   0.1   2.1   2   0   0   2   2   1   1 -
anno1.g9265.t1       -          PF13927_seed         -              3e-06   28.5   0.0     1e-05   26.8   0.0   2.0   1   0   0   1   1   1   1 -
anno1.g10902.t1      -          PF13927_seed         -            3.1e-06   28.5   0.1     2e-05   25.9   0.0   2.5   2   0   0   2   2   1   1 -
anno1.g25712.t1      -          PF13927_seed         -            3.1e-06   28.4   0.0   1.5e-05   26.3   0.0   2.0   1   1   0   1   1   1   1 -
anno1.g30454.t1      -          PF13927_seed         -            3.2e-06   28.4   0.1   2.3e-05   25.7   0.1   2.0   1   1   0   1   1   1   1 -
anno1.g18687.t1      -          PF13927_seed         -            3.4e-06   28.3   0.0   6.6e-06   27.4   0.0   1.5   1   0   0   1   1   1   1 -
anno1.g8088.t1       -          PF13927_seed         -            3.4e-06   28.3   0.0   0.00056   21.2   0.0   2.4   2   1   0   2   2   2   1 -
anno1.g25720.t1      -          PF13927_seed         -              4e-06   28.1   0.0       0.2   13.1   0.0   3.3   3   0   0   3   3   3   1 -
anno1.g31363.t1      -          PF13927_seed         -              5e-06   27.8   1.8    0.0022   19.3   0.5   3.0   2   1   0   2   2   2   1 -
anno1.g17354.t1      -          PF13927_seed         -            5.8e-06   27.6   0.4   1.1e-05   26.7   0.0   1.6   2   0   0   2   2   1   1 -
anno1.g31386.t1      -          PF13927_seed         -            6.7e-06   27.4   0.0   2.3e-05   25.6   0.0   1.9   2   0   0   2   2   1   1 -
anno1.g18690.t1      -          PF13927_seed         -            9.2e-06   26.9   0.0   5.4e-05   24.5   0.0   2.3   2   0   0   2   2   1   1 -
anno1.g28884.t1      -          PF13927_seed         -            9.9e-06   26.8   0.0   1.7e-05   26.1   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g1235.t1       -          PF13927_seed         -            1.1e-05   26.7   7.4      0.24   12.8   0.1   4.3   3   2   0   3   3   3   1 -
anno1.g27369.t1      -          PF13927_seed         -            1.7e-05   26.1   0.0   0.00012   23.4   0.0   2.1   2   0   0   2   2   1   1 -
anno1.g24915.t1      -          PF13927_seed         -            2.6e-05   25.5   2.1    0.0013   20.0   0.1   2.5   2   1   0   2   2   2   1 -
anno1.g15916.t1      -          PF13927_seed         -            2.7e-05   25.4   0.0   4.3e-05   24.8   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g30080.t1      -          PF13927_seed         -            3.3e-05   25.2   0.0   5.2e-05   24.5   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g23292.t1      -          PF13927_seed         -            3.4e-05   25.1   1.8   5.8e-05   24.4   0.0   2.5   2   0   0   2   2   1   1 -
anno1.g3477.t1       -          PF13927_seed         -            4.8e-05   24.6   0.1   0.00028   22.2   0.1   2.0   1   1   0   1   1   1   1 -
anno1.g9057.t1       -          PF13927_seed         -            6.2e-05   24.3   0.1     0.044   15.2   0.0   2.7   1   1   1   2   2   2   1 -
anno1.g25750.t1      -          PF13927_seed         -            6.4e-05   24.2   0.0   0.00025   22.3   0.0   2.0   2   0   0   2   2   1   1 -
anno1.g28581.t1      -          PF13927_seed         -            8.8e-05   23.8   0.3       0.7   11.3   0.0   2.7   2   0   0   2   2   2   0 -
anno1.g16599.t1      -          PF13927_seed         -             0.0001   23.6   0.2   0.00021   22.6   0.2   1.7   1   1   0   1   1   1   1 -
anno1.g29191.t1      -          PF13927_seed         -            0.00017   22.9   2.2      0.87   11.0   0.2   3.0   2   2   0   2   2   2   0 -
anno1.g4928.t1       -          PF13927_seed         -            0.00021   22.6   0.0    0.0004   21.7   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g26406.t1      -          PF13927_seed         -            0.00023   22.5   0.8     0.002   19.4   0.8   2.4   1   1   0   1   1   1   1 -
anno1.g15303.t1      -          PF13927_seed         -            0.00029   22.1   1.7       1.9    9.9   0.0   3.9   3   1   0   3   3   3   0 -
anno1.g6478.t1       -          PF13927_seed         -            0.00041   21.7   0.1   0.00096   20.5   0.1   1.6   1   0   0   1   1   1   1 -
anno1.g7701.t1       -          PF13927_seed         -            0.00054   21.3   3.0      0.16   13.4   0.0   2.9   3   0   0   3   3   2   1 -
anno1.g16663.t1      -          PF13927_seed         -            0.00056   21.2   0.0    0.0013   20.1   0.0   1.6   1   0   0   1   1   1   1 -
anno1.g31220.t1      -          PF13927_seed         -            0.00061   21.1   0.0      0.23   12.9   0.0   2.3   2   0   0   2   2   2   1 -
anno1.g14685.t1      -          PF13927_seed         -            0.00063   21.1   3.5    0.0036   18.6   0.7   3.2   2   1   0   2   2   1   1 -
anno1.g4931.t1       -          PF13927_seed         -             0.0013   20.0   0.0    0.0035   18.7   0.0   1.7   1   0   0   1   1   1   1 -
anno1.g13331.t1      -          PF13927_seed         -             0.0019   19.5   1.6     0.002   19.4   0.1   1.8   2   0   0   2   2   1   1 -
anno1.g14690.t1      -          PF13927_seed         -              0.002   19.4   1.1     0.019   16.3   1.1   2.4   1   1   0   1   1   1   1 -
anno1.g8236.t1       -          PF13927_seed         -             0.0028   19.0   0.5     0.016   16.5   0.5   2.3   1   1   0   1   1   1   1 -
anno1.g20511.t1      -          PF13927_seed         -             0.0033   18.8   0.0      0.17   13.2   0.0   3.6   4   0   0   4   4   1   1 -
anno1.g24916.t1      -          PF13927_seed         -             0.0048   18.2   0.5     0.032   15.6   0.5   2.2   1   1   0   1   1   1   1 -
anno1.g23145.t1      -          PF13927_seed         -             0.0063   17.9   0.0     0.036   15.4   0.0   2.2   2   0   0   2   2   1   1 -
anno1.g5371.t1       -          PF13927_seed         -              0.009   17.4   0.5     0.033   15.5   0.5   2.1   1   1   0   1   1   1   1 -
anno1.g31723.t1      -          PF13927_seed         -             0.0095   17.3   0.2     0.032   15.6   0.0   2.0   2   0   0   2   2   1   1 -
anno1.g14571.t1      -          PF13927_seed         -              0.013   16.8   0.0      0.05   15.0   0.0   2.0   1   0   0   1   1   1   0 -
anno1.g25104.t1      -          PF13927_seed         -              0.015   16.6   0.0      0.06   14.7   0.0   1.9   2   0   0   2   2   1   0 -
anno1.g29797.t1      -          PF13927_seed         -              0.019   16.3   0.2       1.3   10.4   0.1   2.8   2   0   0   2   2   2   0 -
anno1.g26960.t1      -          PF13927_seed         -               0.02   16.2   0.0      0.27   12.6   0.0   2.2   1   1   1   2   2   1   0 -
anno1.g8894.t1       -          PF13927_seed         -              0.042   15.2   1.2        11    7.4   0.1   3.1   3   1   0   3   3   2   0 -
anno1.g29472.t1      -          PF13927_seed         -              0.043   15.2   0.2      0.46   11.9   0.2   2.3   1   1   0   1   1   1   0 -
anno1.g30314.t1      -          PF13927_seed         -              0.054   14.9   0.0      0.14   13.6   0.0   1.7   1   0   0   1   1   1   0 -
anno1.g29060.t1      -          PF13927_seed         -              0.061   14.7   0.3      0.25   12.7   0.3   1.9   1   1   0   1   1   1   0 -
anno1.g14705.t1      -          PF13927_seed         -               0.07   14.5   0.0      0.27   12.6   0.0   1.8   2   0   0   2   2   1   0 -
anno1.g8895.t1       -          PF13927_seed         -              0.086   14.2   1.5       7.1    8.1   0.3   2.8   2   1   0   2   2   2   0 -
anno1.g24309.t1      -          PF13927_seed         -              0.088   14.2   0.4       0.2   13.0   0.0   1.9   2   1   0   2   2   1   0 -
anno1.g22488.t1      -          PF13927_seed         -              0.089   14.2   0.0       1.2   10.5   0.0   2.2   2   0   0   2   2   1   0 -
anno1.g25342.t1      -          PF13927_seed         -              0.092   14.1   0.3      0.29   12.5   0.3   2.0   1   1   0   1   1   1   0 -
anno1.g16170.t1      -          PF13927_seed         -                0.1   14.0   0.0       0.4   12.1   0.0   2.0   1   0   0   1   1   1   0 -
anno1.g31137.t1      -          PF13927_seed         -               0.12   13.8   0.3      0.28   12.6   0.1   2.0   2   1   0   2   2   1   0 -
anno1.g2772.t2       -          PF13927_seed         -                0.2   13.0   0.9      0.45   11.9   0.9   1.5   1   1   0   1   1   1   0 -
anno1.g1218.t1       -          PF13927_seed         -               0.25   12.7   1.9       2.9    9.3   2.2   2.6   2   1   0   2   2   1   0 -
anno1.g30472.t1      -          PF13927_seed         -               0.26   12.7   0.0       3.5    9.0   0.0   2.1   2   0   0   2   2   1   0 -
anno1.g30536.t1      -          PF13927_seed         -                0.3   12.5   0.0      0.62   11.5   0.0   1.6   1   1   0   1   1   1   0 -
anno1.g1237.t1       -          PF13927_seed         -                0.7   11.3   3.6        12    7.4   1.9   3.0   2   1   0   2   2   1   0 -
anno1.g4269.t2       -          PF13927_seed         -                2.2    9.7   5.2       7.6    8.0   0.0   4.2   5   0   0   5   5   1   0 -
anno1.g3476.t1       -          PF13927_seed         -                3.3    9.1   9.3       0.1   14.0   1.1   2.8   3   1   0   3   3   1   0 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../output/PF13927_seed_profile.hmm
# Target file:     ../input/braker_aa_files/s_pistillata_soft_mask_braker_filtered_proteins.fa
# Option settings: hmmsearch --tblout ../output/hmmer_txt_output/braker3_gff/s_pistillata_soft_mask_braker_filtered_proteins_PF13927_seed_profile_hmmer_braker3_gff_results.txt ../output/PF13927_seed_profile.hmm ../input/braker_aa_files/s_pistillata_soft_mask_braker_filtered_proteins.fa 
# Current dir:     /home/tanya/Work_files/TIR_Domains/Coral/procedure
# Date:            Sat Feb 15 18:53:21 2025
# [ok]
